track,true_class,support,exact_match_pct,within_1_class_pct,mae_abs_class_distance,mean_signed_error,mean_predicted_class,predicted_as_1_pct,predicted_as_2_pct,predicted_as_3_pct,predicted_as_4_pct,predicted_as_5_pct
chief_complaint,1,846,9.810874704491725,31.796690307328607,1.7411347517730495,1.7411347517730495,2.7411347517730498,9.810874704491725,21.98581560283688,52.836879432624116,15.011820330969266,0.3546099290780142
chief_complaint,2,8597,20.565313481447017,91.28765848551821,0.881586599976736,0.8794928463417471,2.8794928463417473,0.10468768174944748,20.565313481447017,70.61765732232173,8.700709549842967,0.0116319646388275
chief_complaint,3,29568,77.94575216450217,99.94250541125541,0.22111742424242425,0.1390016233766234,3.1390016233766236,0.01691017316017316,4.071969696969697,77.94575216450217,17.924783549783548,0.040584415584415584
chief_complaint,4,16715,58.46245886927909,98.99491474723303,0.42548609033801976,-0.41974274603649414,3.580257253963506,0.005982650314089142,0.9991026024528867,40.245288662877655,58.46245886927909,0.2871672150762788
chief_complaint,5,2398,2.168473728106756,65.34612176814012,1.3511259382819016,-1.3511259382819016,3.6488740617180984,0.12510425354462051,2.37698081734779,32.15179316096747,63.17764804003336,2.168473728106756
injury_cause,1,846,0.0,0.8274231678486997,2.041371158392435,2.041371158392435,3.041371158392435,0.0,0.8274231678486997,94.2080378250591,4.964539007092199,0.0
injury_cause,2,8597,1.3842037920204724,96.03350005815983,1.025822961498197,1.025822961498197,3.025822961498197,0.0,1.3842037920204724,94.64929626613934,3.966499941840177,0.0
injury_cause,3,29568,93.48281926406926,100.0,0.06517180735930736,0.062060335497835496,3.0620603354978355,0.0,0.15557359307359309,93.48281926406926,6.361607142857142,0.0
injury_cause,4,16715,18.19922225545917,99.8923122943464,0.8190846545019443,-0.8190846545019443,3.1809153454980557,0.0,0.10768770565360455,81.69309003888723,18.19922225545917,0.0
injury_cause,5,2398,0.0,11.259382819015846,1.8878231859883237,-1.8878231859883237,3.1121768140116766,0.0,0.041701417848206836,88.69891576313594,11.259382819015846,0.0
