track,fold,val_loss,qwk,mae_abs_class_distance
chief_complaint,1,0.2666383773434547,0.4348885581469244,0.4390537634408602
chief_complaint,2,0.2701895633666746,0.42331331804117656,0.4445591397849462
chief_complaint,3,0.2754671757964678,0.4174796713955352,0.45729032258064517
chief_complaint,4,0.266237375854164,0.43327072206280315,0.43974193548387097
chief_complaint,5,0.26952019929680754,0.4103941269824788,0.45096352374397797
injury_cause,1,0.3237651835231371,0.1004039912826582,0.5261935483870968
injury_cause,2,0.3242090376910343,0.10776384230081881,0.5261935483870968
injury_cause,3,0.32721180856868787,0.10698327848613454,0.5322150537634409
injury_cause,4,0.32416342489181027,0.10643443136391417,0.5292043010752688
injury_cause,5,0.32312423842000865,0.10970185002403443,0.5263248451479697
